id,isResult,side,h,a,goals,xG,datetime,forecast,result
19128,True,a,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '2'}","{'h': '0.760581', 'a': '2.38335'}",2023-02-01 20:00:00,"{'w': 0.10078948514680718, 'd': 0.16468587563281542, 'l': 0.7345246015898159}",w
19154,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '3', 'a': '0'}","{'h': '3.09763', 'a': '0.0413799'}",2023-02-05 20:00:00,"{'w': 0.9489899212752596, 'd': 0.04905965707965234, 'l': 0.001949431451418899}",w
19168,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '1'}","{'h': '1.05151', 'a': '1.37827'}",2023-02-12 20:00:00,"{'w': 0.28649912763927826, 'd': 0.27007130842422983, 'l': 0.4434295639099525}",w
19172,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '261', 'title': 'Cadiz', 'short_title': 'CAD'}","{'h': '2', 'a': '0'}","{'h': '2.28935', 'a': '1.404'}",2023-02-19 20:00:00,"{'w': 0.5738509637657128, 'd': 0.1973889766860339, 'l': 0.2287600370600881}",w
19188,True,a,"{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '0'}","{'h': '0.828027', 'a': '1.15571'}",2023-02-26 17:30:00,"{'w': 0.2622312043634856, 'd': 0.30423670284422294, 'l': 0.4335320927899967}",l
19193,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '1', 'a': '0'}","{'h': '2.09199', 'a': '0.629336'}",2023-03-05 15:15:00,"{'w': 0.7150554702411865, 'd': 0.18544116057801813, 'l': 0.09950336220406845}",w
19202,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '1'}","{'h': '1.13701', 'a': '0.724931'}",2023-03-12 20:00:00,"{'w': 0.4539662430592484, 'd': 0.3123707639372493, 'l': 0.23366299300168752}",w
19213,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '2', 'a': '1'}","{'h': '1.66532', 'a': '0.524212'}",2023-03-19 20:00:00,"{'w': 0.6542653404405347, 'd': 0.23323500208384046, 'l': 0.11249965713668472}",w
19227,True,a,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '4'}","{'h': '0.508304', 'a': '1.61804'}",2023-04-01 19:00:00,"{'w': 0.11293738757533059, 'd': 0.239480177118562, 'l': 0.6475824350761643}",w
19232,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'h': '0', 'a': '0'}","{'h': '1.05077', 'a': '0.491057'}",2023-04-10 19:00:00,"{'w': 0.48991568809156716, 'd': 0.33949277549134216, 'l': 0.17059153641648933}",d
19247,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '0'}","{'h': '0.621219', 'a': '1.04627'}",2023-04-16 14:15:00,"{'w': 0.21502866973527401, 'd': 0.332812280849455, 'l': 0.4521590494147045}",d
19255,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '1', 'a': '0'}","{'h': '2.12803', 'a': '0.714419'}",2023-04-23 14:15:00,"{'w': 0.7006697901872164, 'd': 0.18683174128610477, 'l': 0.112498459809482}",w
19269,True,a,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '2', 'a': '1'}","{'h': '0.862266', 'a': '1.00988'}",2023-04-26 20:00:00,"{'w': 0.3004074701370278, 'd': 0.31984801827271264, 'l': 0.3797445115898778}",l
19272,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '4', 'a': '0'}","{'h': '3.0864', 'a': '0.231066'}",2023-04-29 19:00:00,"{'w': 0.9198647044608957, 'd': 0.0670832316396856, 'l': 0.013051116416155903}",w
19284,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'h': '1', 'a': '0'}","{'h': '2.40046', 'a': '0.355588'}",2023-05-02 17:30:00,"{'w': 0.8298450819615919, 'd': 0.13051297528926983, 'l': 0.03964190151630451}",w
19299,True,a,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '2', 'a': '4'}","{'h': '2.72734', 'a': '3.6498'}",2023-05-14 19:00:00,"{'w': 0.28399297666390116, 'd': 0.15177754348970895, 'l': 0.564222309847232}",w
19310,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '1', 'a': '2'}","{'h': '1.8413', 'a': '2.8035'}",2023-05-20 19:00:00,"{'w': 0.24407893839456077, 'd': 0.1746670376053832, 'l': 0.5812537316104313}",l
19318,True,a,"{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '3', 'a': '1'}","{'h': '2.20591', 'a': '1.72866'}",2023-05-23 20:00:00,"{'w': 0.4902150115220492, 'd': 0.2037198562848495, 'l': 0.3060651177310092}",l
19324,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'h': '3', 'a': '0'}","{'h': '4.40817', 'a': '0.124265'}",2023-05-28 17:00:00,"{'w': 0.9805973053880095, 'd': 0.01750312551969526, 'l': 0.001840747533774764}",w
19334,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '2', 'a': '1'}","{'h': '0.565601', 'a': '1.41678'}",2023-06-04 18:00:00,"{'w': 0.14794561660634412, 'd': 0.27229971102430955, 'l': 0.5797546723315223}",l
