situation,formation,gameState,timing,shotZone,attackSpeed,result
,,,,"{'stat': 'ownGoals', 'shots': 1, 'goals': 1, 'xG': 1, 'against': {'shots': 3, 'goals': 3, 'xG': 3}}",,
,,,,"{'stat': 'shotOboxTotal', 'shots': 161, 'goals': 2, 'xG': 6.830576482228935, 'against': {'shots': 93, 'goals': 3, 'xG': 2.7897906922735274}}",,
,,,,"{'stat': 'shotPenaltyArea', 'shots': 358, 'goals': 50, 'xG': 53.345338757149875, 'against': {'shots': 221, 'goals': 13, 'xG': 25.94463576748967}}",,
,,,,"{'stat': 'shotSixYardBox', 'shots': 54, 'goals': 17, 'xG': 23.81496073678136, 'against': {'shots': 17, 'goals': 1, 'xG': 4.746967229060829}}",,
,,,,,"{'stat': 'Normal', 'shots': 375, 'goals': 56, 'xG': 58.80371720716357, 'against': {'shots': 208, 'goals': 6, 'xG': 19.64836398139596}}",
,,,,,"{'stat': 'Standard', 'shots': 132, 'goals': 7, 'xG': 15.782586850225925, 'against': {'shots': 68, 'goals': 5, 'xG': 6.759229390881956}}",
,,,,,"{'stat': 'Slow', 'shots': 41, 'goals': 3, 'xG': 4.470201434567571, 'against': {'shots': 25, 'goals': 3, 'xG': 4.558999980799854}}",
,,,,,"{'stat': 'Fast', 'shots': 26, 'goals': 4, 'xG': 5.9343704842031, 'against': {'shots': 33, 'goals': 6, 'xG': 5.5148003357462585}}",
,,,,,,"{'shots': 145, 'goals': 0, 'xG': 10.706469178199768, 'against': {'shots': 90, 'goals': 0, 'xG': 5.824315324425697}}"
,,,,,,"{'shots': 70, 'goals': 70, 'xG': 28.952700845897198, 'against': {'shots': 20, 'goals': 20, 'xG': 8.806410919874907}}"
,,,,,,"{'shots': 118, 'goals': 0, 'xG': 15.095673098228872, 'against': {'shots': 85, 'goals': 0, 'xG': 9.126717272680253}}"
,,,,,,"{'shots': 226, 'goals': 0, 'xG': 25.62344352994114, 'against': {'shots': 133, 'goals': 0, 'xG': 12.100901311263442}}"
,,,,,,"{'shots': 15, 'goals': 0, 'xG': 4.612589323893189, 'against': {'shots': 6, 'goals': 0, 'xG': 0.6230488605797291}}"
